2016-03-01T13:19:14.004+0530 I CONTROL  Hotfix KB2731284 or later update is installed, no need to zero-out data files
2016-03-01T13:19:14.033+0530 I JOURNAL  [initandlisten] journal dir=D:\Notification\Mongo\data\db\journal
2016-03-01T13:19:14.033+0530 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2016-03-01T13:19:14.119+0530 I JOURNAL  [durability] Durability thread started
2016-03-01T13:19:14.120+0530 I JOURNAL  [journal writer] Journal writer thread started
2016-03-01T13:19:14.123+0530 I CONTROL  [initandlisten] MongoDB starting : pid=7116 port=27017 dbpath=D:\Notification\Mongo\data\db 64-bit host=IND-SPZ7LW75017
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] db version v3.0.6
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] git version: 1ef45a23a4c5e3480ac919b28afcba3c615488f2
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] allocator: tcmalloc
2016-03-01T13:19:14.124+0530 I CONTROL  [initandlisten] options: { config: "D:\Notification\Mongo\mongodb.cfg", storage: { dbPath: "D:\Notification\Mongo\data\db" }, systemLog: { destination: "file", path: "D:\Notification\Mongo\data\log\mongod.log" } }
2016-03-01T13:19:14.607+0530 I NETWORK  [initandlisten] waiting for connections on port 27017
2016-03-01T13:19:16.734+0530 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51189 #1 (1 connection now open)
2016-03-01T14:49:47.058+0530 I CONTROL  CTRL_CLOSE_EVENT signal
2016-03-01T14:49:47.058+0530 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2016-03-01T14:49:47.058+0530 I CONTROL  [consoleTerminate] now exiting
2016-03-01T14:49:47.058+0530 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2016-03-01T14:49:47.058+0530 I NETWORK  [consoleTerminate] closing listening socket: 344
2016-03-01T14:49:47.058+0530 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2016-03-01T14:49:47.058+0530 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2016-03-01T14:49:47.058+0530 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2016-03-01T14:49:47.058+0530 I STORAGE  [consoleTerminate] shutdown: final commit...
2016-03-01T14:49:47.061+0530 I NETWORK  [conn1] end connection 127.0.0.1:51189 (0 connections now open)
2016-03-01T14:49:47.061+0530 I JOURNAL  [consoleTerminate] journalCleanup...
2016-03-01T14:49:47.061+0530 I JOURNAL  [consoleTerminate] removeJournalFiles
2016-03-01T14:49:47.061+0530 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2016-03-01T14:49:47.160+0530 I JOURNAL  [journal writer] Journal writer thread stopped
2016-03-01T14:49:47.160+0530 I JOURNAL  [durability] Durability thread stopped
2016-03-01T14:49:47.160+0530 I STORAGE  [consoleTerminate] shutdown: closing all files...
2016-03-01T14:49:47.162+0530 I STORAGE  [consoleTerminate] closeAllFiles() finished
2016-03-01T14:49:47.162+0530 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2016-03-01T14:49:47.162+0530 I CONTROL  [consoleTerminate] dbexit:  rc: 12
